Price_NT,District,Ping,Rooms,type
60000,士林區,49.62,4,電梯大樓
24000,中正區,9.43,1,電梯大樓
120000,內湖區,80.42,4,電梯大樓
35000,萬華區,33.49,3,電梯大樓
64000,內湖區,69.09,4,電梯大樓
53000,中山區,43.21,2,電梯大樓
38000,內湖區,30.6,2,電梯大樓
75000,士林區,46.25,3,電梯大樓
55000,中正區,51.84,4,電梯大樓
25000,北投區,19.61,2,電梯大樓
29000,中山區,11.77,1,電梯大樓
23000,北投區,19.61,1,電梯大樓
42800,文山區,58.96,3,電梯大樓
25000,士林區,10.3,1,電梯大樓
65000,中山區,52.15,2,電梯大樓
50000,大安區,23.23,2,電梯大樓
70000,大同區,53.6,3,電梯大樓
52000,內湖區,37,3,電梯大樓
22000,大安區,9.52,1,電梯大樓
60000,大安區,48.47,4,電梯大樓
70000,大安區,46.34,4,電梯大樓
180000,大安區,115.77,4,電梯大樓
55000,南港區,39.94,3,電梯大樓
46000,大安區,32.69,2,電梯大樓
68000,南港區,35.72,2,電梯大樓
28000,萬華區,15.2,1,電梯大樓
25000,松山區,13.24,1,電梯大樓
40000,北投區,43.28,2,電梯大樓
25800,內湖區,12.92,1,電梯大樓
32000,中山區,12.37,1,電梯大樓
120000,信義區,110.83,4,電梯大樓
26000,松山區,12.86,1,電梯大樓
27000,中山區,16.07,2,電梯大樓
38000,北投區,29.65,1,電梯大樓
25000,大同區,14.76,1,電梯大樓
58000,大安區,43.83,4,電梯大樓
265000,中山區,151.14,4,電梯大樓
45000,大安區,37.28,2,電梯大樓
50000,大安區,38.66,3,電梯大樓
42000,大安區,17.01,1,電梯大樓
35000,文山區,38.54,1,電梯大樓
28000,北投區,29.43,2,電梯大樓
39000,大安區,12.66,1,電梯大樓
23500,中山區,8,1,電梯大樓
21000,萬華區,10.89,1,電梯大樓
39000,文山區,29.48,2,電梯大樓
60000,松山區,55.27,4,電梯大樓
38000,文山區,43.96,3,電梯大樓
53000,中山區,47.05,3,電梯大樓
57000,大安區,31.17,2,電梯大樓
70000,內湖區,49.44,2,電梯大樓
220000,信義區,117.47,4,電梯大樓
53000,松山區,50.61,3,電梯大樓
32000,中山區,13.41,1,電梯大樓
60000,文山區,62.09,3,電梯大樓
49000,士林區,58.42,3,電梯大樓
70000,士林區,83.55,4,電梯大樓
50000,南港區,42.69,3,電梯大樓
17000,中山區,10.54,1,電梯大樓
75000,中山區,28.35,2,電梯大樓
70000,北投區,59.92,4,電梯大樓
25000,文山區,11.32,1,電梯大樓
23800,中山區,11.6,1,電梯大樓
47000,中山區,46.96,2,電梯大樓
42000,信義區,28.71,3,電梯大樓
32000,大安區,13.67,1,電梯大樓
28500,文山區,23.61,1,電梯大樓
28000,文山區,12,1,電梯大樓
50000,南港區,39.33,3,電梯大樓
100000,內湖區,92.44,4,電梯大樓
108800,北投區,38.7,2,電梯大樓
32000,北投區,26.61,1,電梯大樓
28800,中正區,15,2,電梯大樓
21000,內湖區,11.65,1,電梯大樓
75000,中正區,42.52,2,電梯大樓
58000,信義區,45.67,3,電梯大樓
88000,大安區,62.55,4,電梯大樓
85000,南港區,78.5,3,電梯大樓
32000,大安區,18.78,2,電梯大樓
3500,信義區,4.23,1,電梯大樓
70000,大安區,29.43,1,電梯大樓
30000,信義區,22.81,1,電梯大樓
55000,信義區,22.7,1,電梯大樓
45000,信義區,26.99,1,電梯大樓
35000,大安區,16.6,2,電梯大樓
55000,大安區,36.66,3,電梯大樓
33000,信義區,15.05,2,電梯大樓
46000,松山區,30,3,電梯大樓
60999,北投區,51.5,3,電梯大樓
30000,中正區,14.42,1,電梯大樓
105000,中山區,49.82,3,電梯大樓
15000,萬華區,9.3,1,電梯大樓
185000,中正區,57.67,2,電梯大樓
78000,文山區,59.24,4,電梯大樓
55000,文山區,24.21,2,電梯大樓
75000,文山區,68.57,3,電梯大樓
23500,中正區,20,2,電梯大樓
45000,南港區,36.72,2,電梯大樓
42000,大安區,34.16,3,電梯大樓
60000,南港區,51.03,3,電梯大樓
47000,中山區,14.44,1,電梯大樓
105000,內湖區,53.71,3,電梯大樓
30000,中山區,19.39,1,電梯大樓
50000,大同區,27.57,1,電梯大樓
60000,大同區,28.02,2,電梯大樓
35000,中山區,31.26,1,電梯大樓
46000,士林區,21.64,2,電梯大樓
18000,中山區,15.92,1,電梯大樓
50000,中正區,25.75,2,電梯大樓
63000,中正區,43.65,3,電梯大樓
13500,中正區,6.65,1,電梯大樓
45000,大同區,22.44,２,電梯大樓
48000,內湖區,38.6,3,電梯大樓
