Price_NT,District,Ping,Rooms,type,Price_per_ping,sqm,Price_per_sqm
28999,士林區,17.34,1.0,電梯大樓,1672.3760092272203,57.32604,505.86086183521485
79999,萬華區,47.46,4.0,電梯大樓,1685.6089338390223,156.90276,509.86356135481617
78999,中山區,53.92,4.0,電梯大樓,1465.1149851632047,178.25952,443.1684770608605
69999,中正區,42.52,2.0,電梯大樓,1646.2605832549386,140.57112,497.9614589397879
55999,士林區,53.79,4.0,電梯大樓,1041.067112846254,177.82974,314.9023329843479
134999,大安區,84.55,4.0,電梯大樓,1596.6765227675933,279.5223,482.9632555255878
139998,信義區,53.33,3.0,電梯大樓,2625.126570410651,176.30898,794.0491743528889
108799,北投區,53.7,2.0,電梯大樓,2026.0521415270018,177.53220000000002,612.8409381509382
97999,大安區,49.4,3.0,電梯大樓,1983.7854251012147,163.3164,600.0560874474334
57999,信義區,37.2,3.0,電梯大樓,1559.1129032258063,122.98320000000001,471.60099916086097
89999,萬華區,59.24,4.0,電梯大樓,1519.2268737339634,195.84744,459.53625944765986
54999,信義區,38.58,3.0,電梯大樓,1425.583203732504,127.54548,431.2108904212051
74999,大同區,38.8,3.0,電梯大樓,1932.9639175257732,128.2728,584.6835806188062
69999,萬華區,49.4,3.0,電梯大樓,1416.9838056680162,163.3164,428.60974158137213
88000,士林區,85.0,4.0,電梯大樓,1035.2941176470588,281.01,313.15611544073164
70000,文山區,58.63,2.0,電梯大樓,1193.9280231963157,193.83078,361.13975293294493
42000,大安區,23.45,2.0,電梯大樓,1791.044776119403,77.5257,541.7558306471274
40999,大安區,34.16,3.0,電梯大樓,1200.204918032787,112.93296,363.03839020955445
55000,中正區,25.75,2.0,電梯大樓,2135.9223300970875,85.12950000000001,646.0745100112182
54360,中山區,33.04,2.0,電梯大樓,1645.2784503631963,109.23024,497.6643830499686
49600,中山區,30.69,2.0,電梯大樓,1616.1616161616162,101.46114,488.85711317653244
214999,士林區,105.2,4.0,電梯大樓,2043.7167300380227,347.7912,618.1841288681254
68888,大安區,48.17,3.0,電梯大樓,1430.1017230641478,159.25002,432.5776536794155
59999,信義區,27.65,1.0,電梯大樓,2169.9457504520797,91.4109,656.3659257265818
64999,大同區,47.69,3.0,電梯大樓,1362.9482071713148,157.66314,412.265035442019
158000,信義區,60.0,2.0,電梯大樓,2633.3333333333335,198.36,796.5315587820124
69800,中正區,40.06,2.0,電梯大樓,1742.3864203694457,132.43836000000002,527.0376347155008
68000,中山區,37.35,2.0,電梯大樓,1820.6157965194109,123.4791,550.7004829157323
160000,中山區,95.1,2.0,電梯大樓,1682.4395373291272,314.4006,508.9048812247814
